"Laikotarpis","Rodiklis","Amžius (tikslinės amžiaus grupės)","Gyvenamoji vietovė","Lytis","Matavimo vienetai","Reikšmė"
"2012","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2013","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2014","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2015","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2016","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2017","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2018","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"1998","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","12.7"
"1999","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","15.3"
"2000","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","15.1"
"2001","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","15.8"
"2002","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","14.1"
"2003","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","13.0"
"2004","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","11.8"
"2005","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","8.8"
"2006","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","5.4"
"2007","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","4.2"
"2008","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","5.5"
"2009","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","9.6"
"2010","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","12.5"
"2011","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","10.8"
"2012","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","9.6"
"2013","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","8.9"
"2014","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","7.4"
"2015","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","6.0"
"2016","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","5.2"
"2017","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","4.3"
"2018","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Moterys","proc.","4.4"
"1998","Nedarbo lygis","15–24","Miestas","Moterys","proc.","20.2"
"1999","Nedarbo lygis","15–24","Miestas","Moterys","proc.","28.3"
"2000","Nedarbo lygis","15–24","Miestas","Moterys","proc.","27.9"
"2001","Nedarbo lygis","15–24","Miestas","Moterys","proc.","22.1"
"2002","Nedarbo lygis","15–24","Miestas","Moterys","proc.","24.5"
"2003","Nedarbo lygis","15–24","Miestas","Moterys","proc.","30.7"
"2004","Nedarbo lygis","15–24","Miestas","Moterys","proc.","22.2"
"2005","Nedarbo lygis","15–24","Miestas","Moterys","proc.","15.7"
"2006","Nedarbo lygis","15–24","Miestas","Moterys","proc.","10.7"
"2007","Nedarbo lygis","15–24","Miestas","Moterys","proc.","10.9"
"2008","Nedarbo lygis","15–24","Miestas","Moterys","proc.","13.0"
"2009","Nedarbo lygis","15–24","Miestas","Moterys","proc.","22.8"
"2010","Nedarbo lygis","15–24","Miestas","Moterys","proc.","28.7"
"2011","Nedarbo lygis","15–24","Miestas","Moterys","proc.","24.7"
"2012","Nedarbo lygis","15–24","Miestas","Moterys","proc.","19.9"
"2013","Nedarbo lygis","15–24","Miestas","Moterys","proc.","17.6"
"2014","Nedarbo lygis","15–24","Miestas","Moterys","proc.","16.3"
"2015","Nedarbo lygis","15–24","Miestas","Moterys","proc.","14.1"
"2016","Nedarbo lygis","15–24","Miestas","Moterys","proc.","9.7"
"2017","Nedarbo lygis","15–24","Miestas","Moterys","proc.","8.1"
"2018","Nedarbo lygis","15–24","Miestas","Moterys","proc.","9.9"
"1998","Nedarbo lygis","15–29","Miestas","Moterys","proc.","15.3"
"1999","Nedarbo lygis","15–29","Miestas","Moterys","proc.","21.6"
"2000","Nedarbo lygis","15–29","Miestas","Moterys","proc.","18.1"
"2001","Nedarbo lygis","15–29","Miestas","Moterys","proc.","18.4"
"2002","Nedarbo lygis","15–29","Miestas","Moterys","proc.","16.1"
"2003","Nedarbo lygis","15–29","Miestas","Moterys","proc.","17.3"
"2004","Nedarbo lygis","15–29","Miestas","Moterys","proc.","12.5"
"2005","Nedarbo lygis","15–29","Miestas","Moterys","proc.","9.0"
"2006","Nedarbo lygis","15–29","Miestas","Moterys","proc.","5.9"
"2007","Nedarbo lygis","15–29","Miestas","Moterys","proc.","6.9"
"2008","Nedarbo lygis","15–29","Miestas","Moterys","proc.","8.3"
"2009","Nedarbo lygis","15–29","Miestas","Moterys","proc.","14.7"
"2010","Nedarbo lygis","15–29","Miestas","Moterys","proc.","19.5"
"2011","Nedarbo lygis","15–29","Miestas","Moterys","proc.","16.9"
"2012","Nedarbo lygis","15–29","Miestas","Moterys","proc.","14.4"
"2013","Nedarbo lygis","15–29","Miestas","Moterys","proc.","14.1"
"2014","Nedarbo lygis","15–29","Miestas","Moterys","proc.","11.4"
"2015","Nedarbo lygis","15–29","Miestas","Moterys","proc.","10.9"
"2016","Nedarbo lygis","15–29","Miestas","Moterys","proc.","7.8"
"2017","Nedarbo lygis","15–29","Miestas","Moterys","proc.","5.2"
"2018","Nedarbo lygis","15–29","Miestas","Moterys","proc.","5.4"
"1998","Nedarbo lygis","15–64","Miestas","Moterys","proc.","12.8"
"1999","Nedarbo lygis","15–64","Miestas","Moterys","proc.","15.4"
"2000","Nedarbo lygis","15–64","Miestas","Moterys","proc.","15.3"
"2001","Nedarbo lygis","15–64","Miestas","Moterys","proc.","16.0"
"2002","Nedarbo lygis","15–64","Miestas","Moterys","proc.","14.2"
"2003","Nedarbo lygis","15–64","Miestas","Moterys","proc.","13.0"
"2004","Nedarbo lygis","15–64","Miestas","Moterys","proc.","11.8"
"2005","Nedarbo lygis","15–64","Miestas","Moterys","proc.","8.9"
"2006","Nedarbo lygis","15–64","Miestas","Moterys","proc.","5.4"
"2007","Nedarbo lygis","15–64","Miestas","Moterys","proc.","4.3"
"2008","Nedarbo lygis","15–64","Miestas","Moterys","proc.","5.5"
"2009","Nedarbo lygis","15–64","Miestas","Moterys","proc.","9.7"
"2010","Nedarbo lygis","15–64","Miestas","Moterys","proc.","12.7"
"2011","Nedarbo lygis","15–64","Miestas","Moterys","proc.","11.1"
"2012","Nedarbo lygis","15–64","Miestas","Moterys","proc.","9.8"
"2013","Nedarbo lygis","15–64","Miestas","Moterys","proc.","9.0"
"2014","Nedarbo lygis","15–64","Miestas","Moterys","proc.","7.5"
"2015","Nedarbo lygis","15–64","Miestas","Moterys","proc.","6.1"
"2016","Nedarbo lygis","15–64","Miestas","Moterys","proc.","5.3"
"2017","Nedarbo lygis","15–64","Miestas","Moterys","proc.","4.4"
"2018","Nedarbo lygis","15–64","Miestas","Moterys","proc.","4.6"
"1998","Nedarbo lygis","15–74","Miestas","Moterys","proc.","12.7"
"1999","Nedarbo lygis","15–74","Miestas","Moterys","proc.","15.3"
"2000","Nedarbo lygis","15–74","Miestas","Moterys","proc.","15.2"
"2001","Nedarbo lygis","15–74","Miestas","Moterys","proc.","15.8"
"2002","Nedarbo lygis","15–74","Miestas","Moterys","proc.","14.1"
"2003","Nedarbo lygis","15–74","Miestas","Moterys","proc.","13.0"
"2004","Nedarbo lygis","15–74","Miestas","Moterys","proc.","11.8"
"2005","Nedarbo lygis","15–74","Miestas","Moterys","proc.","8.8"
"2006","Nedarbo lygis","15–74","Miestas","Moterys","proc.","5.4"
"2007","Nedarbo lygis","15–74","Miestas","Moterys","proc.","4.2"
"2008","Nedarbo lygis","15–74","Miestas","Moterys","proc.","5.5"
"2009","Nedarbo lygis","15–74","Miestas","Moterys","proc.","9.6"
"2010","Nedarbo lygis","15–74","Miestas","Moterys","proc.","12.5"
"2011","Nedarbo lygis","15–74","Miestas","Moterys","proc.","10.9"
"2012","Nedarbo lygis","15–74","Miestas","Moterys","proc.","9.6"
"2013","Nedarbo lygis","15–74","Miestas","Moterys","proc.","8.9"
"2014","Nedarbo lygis","15–74","Miestas","Moterys","proc.","7.4"
"2015","Nedarbo lygis","15–74","Miestas","Moterys","proc.","6.0"
"2016","Nedarbo lygis","15–74","Miestas","Moterys","proc.","5.2"
"2017","Nedarbo lygis","15–74","Miestas","Moterys","proc.","4.3"
"2018","Nedarbo lygis","15–74","Miestas","Moterys","proc.","4.4"
"1998","Nedarbo lygis","20–64","Miestas","Moterys","proc.","12.6"
"1999","Nedarbo lygis","20–64","Miestas","Moterys","proc.","15.0"
"2000","Nedarbo lygis","20–64","Miestas","Moterys","proc.","15.2"
"2001","Nedarbo lygis","20–64","Miestas","Moterys","proc.","15.7"
"2002","Nedarbo lygis","20–64","Miestas","Moterys","proc.","14.0"
"2003","Nedarbo lygis","20–64","Miestas","Moterys","proc.","12.6"
"2004","Nedarbo lygis","20–64","Miestas","Moterys","proc.","11.6"
"2005","Nedarbo lygis","20–64","Miestas","Moterys","proc.","8.8"
"2006","Nedarbo lygis","20–64","Miestas","Moterys","proc.","5.4"
"2007","Nedarbo lygis","20–64","Miestas","Moterys","proc.","4.2"
"2008","Nedarbo lygis","20–64","Miestas","Moterys","proc.","5.4"
"2009","Nedarbo lygis","20–64","Miestas","Moterys","proc.","9.5"
"2010","Nedarbo lygis","20–64","Miestas","Moterys","proc.","12.5"
"2011","Nedarbo lygis","20–64","Miestas","Moterys","proc.","10.9"
"2012","Nedarbo lygis","20–64","Miestas","Moterys","proc.","9.7"
"2013","Nedarbo lygis","20–64","Miestas","Moterys","proc.","9.0"
"2014","Nedarbo lygis","20–64","Miestas","Moterys","proc.","7.4"
"2015","Nedarbo lygis","20–64","Miestas","Moterys","proc.","6.0"
"2016","Nedarbo lygis","20–64","Miestas","Moterys","proc.","5.2"
"2017","Nedarbo lygis","20–64","Miestas","Moterys","proc.","4.4"
"2018","Nedarbo lygis","20–64","Miestas","Moterys","proc.","4.5"
"1998","Nedarbo lygis","25–54","Miestas","Moterys","proc.","12.4"
"1999","Nedarbo lygis","25–54","Miestas","Moterys","proc.","15.0"
"2000","Nedarbo lygis","25–54","Miestas","Moterys","proc.","14.4"
"2001","Nedarbo lygis","25–54","Miestas","Moterys","proc.","15.9"
"2002","Nedarbo lygis","25–54","Miestas","Moterys","proc.","13.5"
"2003","Nedarbo lygis","25–54","Miestas","Moterys","proc.","11.0"
"2004","Nedarbo lygis","25–54","Miestas","Moterys","proc.","11.0"
"2005","Nedarbo lygis","25–54","Miestas","Moterys","proc.","8.6"
"2006","Nedarbo lygis","25–54","Miestas","Moterys","proc.","4.9"
"2007","Nedarbo lygis","25–54","Miestas","Moterys","proc.","3.8"
"2008","Nedarbo lygis","25–54","Miestas","Moterys","proc.","5.0"
"2009","Nedarbo lygis","25–54","Miestas","Moterys","proc.","8.8"
"2010","Nedarbo lygis","25–54","Miestas","Moterys","proc.","11.6"
"2011","Nedarbo lygis","25–54","Miestas","Moterys","proc.","10.4"
"2012","Nedarbo lygis","25–54","Miestas","Moterys","proc.","9.1"
"2013","Nedarbo lygis","25–54","Miestas","Moterys","proc.","8.6"
"2014","Nedarbo lygis","25–54","Miestas","Moterys","proc.","7.0"
"2015","Nedarbo lygis","25–54","Miestas","Moterys","proc.","5.7"
"2016","Nedarbo lygis","25–54","Miestas","Moterys","proc.","5.2"
"2017","Nedarbo lygis","25–54","Miestas","Moterys","proc.","4.2"
"2018","Nedarbo lygis","25–54","Miestas","Moterys","proc.","3.9"
"1998","Nedarbo lygis","55–64","Miestas","Moterys","proc.","7.8"
"1999","Nedarbo lygis","55–64","Miestas","Moterys","proc.","3.6"
"2000","Nedarbo lygis","55–64","Miestas","Moterys","proc.","11.2"
"2001","Nedarbo lygis","55–64","Miestas","Moterys","proc.","10.7"
"2002","Nedarbo lygis","55–64","Miestas","Moterys","proc.","10.6"
"2003","Nedarbo lygis","55–64","Miestas","Moterys","proc.","14.6"
"2004","Nedarbo lygis","55–64","Miestas","Moterys","proc.","11.5"
"2005","Nedarbo lygis","55–64","Miestas","Moterys","proc.","7.4"
"2006","Nedarbo lygis","55–64","Miestas","Moterys","proc.","5.7"
"2007","Nedarbo lygis","55–64","Miestas","Moterys","proc.","3.8"
"2008","Nedarbo lygis","55–64","Miestas","Moterys","proc.","4.2"
"2009","Nedarbo lygis","55–64","Miestas","Moterys","proc.","7.8"
"2010","Nedarbo lygis","55–64","Miestas","Moterys","proc.","10.9"
"2011","Nedarbo lygis","55–64","Miestas","Moterys","proc.","8.6"
"2012","Nedarbo lygis","55–64","Miestas","Moterys","proc.","8.9"
"2013","Nedarbo lygis","55–64","Miestas","Moterys","proc.","7.5"
"2014","Nedarbo lygis","55–64","Miestas","Moterys","proc.","6.1"
"2015","Nedarbo lygis","55–64","Miestas","Moterys","proc.","4.7"
"2016","Nedarbo lygis","55–64","Miestas","Moterys","proc.","4.4"
"2017","Nedarbo lygis","55–64","Miestas","Moterys","proc.","4.1"
"2018","Nedarbo lygis","55–64","Miestas","Moterys","proc.","5.1"
"1998","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"1999","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2000","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2001","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2002","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2003","Nedarbo lygis","65+","Miestas","Moterys","proc.","13.2"
"2004","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2005","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2006","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2007","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2008","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2009","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2010","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2011","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2012","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2013","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2014","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2015","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2016","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2017","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"2018","Nedarbo lygis","65+","Miestas","Moterys","proc.",
"1998","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","10.6"
"1999","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","9.2"
"2000","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","13.3"
"2001","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","14.4"
"2002","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","9.7"
"2003","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","9.6"
"2004","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","9.4"
"2005","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","7.5"
"2006","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","6.4"
"2007","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","4.5"
"2008","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","6.1"
"2009","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","16.8"
"2010","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","22.7"
"2011","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","21.3"
"2012","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","19.7"
"2013","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","17.1"
"2014","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","16.1"
"2015","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","14.2"
"2016","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","12.4"
"2017","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","11.0"
"2018","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai ir moterys","proc.","9.1"
"1998","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","19.5"
"1999","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","21.0"
"2000","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","30.4"
"2001","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","32.0"
"2002","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","19.4"
"2003","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","17.9"
"2004","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","20.2"
"2005","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","14.8"
"2006","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","9.6"
"2007","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","7.3"
"2008","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","11.6"
"2009","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","32.8"
"2010","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","41.0"
"2011","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","41.5"
"2012","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","33.0"
"2013","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","27.5"
"2014","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","24.6"
"2015","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","17.8"
"2016","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","18.5"
"2017","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","16.3"
"2018","Nedarbo lygis","15–24","Kaimas","Vyrai ir moterys","proc.","14.1"
"1998","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","14.9"
"1999","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","15.3"
"2000","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","20.8"
"2001","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","23.7"
"2002","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","17.9"
"2003","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","14.1"
"2004","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","14.7"
"2005","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","10.8"
"2006","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","8.2"
"2007","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","6.4"
"2008","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","9.2"
"2009","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","25.9"
"2010","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","35.1"
"2011","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","31.5"
"2012","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","28.3"
"2013","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","23.9"
"2014","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","20.5"
"2015","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","15.5"
"2016","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","14.3"
"2017","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","11.7"
"2018","Nedarbo lygis","15–29","Kaimas","Vyrai ir moterys","proc.","10.9"
"1998","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","11.0"
"1999","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","9.5"
"2000","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","14.0"
"2001","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","14.7"
"2002","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","9.9"
"2003","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","9.8"
"2004","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","9.5"
"2005","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","7.5"
"2006","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","6.5"
"2007","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","4.6"
"2008","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","6.2"
"2009","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","17.0"
"2010","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","23.1"
"2011","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","21.6"
"2012","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","20.0"
"2013","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","17.4"
"2014","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","16.4"
"2015","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","14.5"
"2016","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","12.8"
"2017","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","11.4"
"2018","Nedarbo lygis","15–64","Kaimas","Vyrai ir moterys","proc.","9.4"
"1998","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","10.7"
"1999","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","9.2"
"2000","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","13.4"
"2001","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","14.4"
"2002","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","9.7"
"2003","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","9.6"
"2004","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","9.4"
"2005","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","7.5"
"2006","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","6.4"
"2007","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","4.5"
"2008","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","6.1"
"2009","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","16.8"
"2010","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","22.8"
"2011","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","21.3"
"2012","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","19.7"
"2013","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","17.2"
"2014","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","16.1"
"2015","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","14.2"
"2016","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","12.5"
"2017","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","11.1"
"2018","Nedarbo lygis","15–74","Kaimas","Vyrai ir moterys","proc.","9.2"
"1998","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","10.3"
"1999","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","9.1"
"2000","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","13.0"
"2001","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","14.4"
"2002","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","9.6"
"2003","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","9.4"
"2004","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","9.2"
"2005","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","7.4"
"2006","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","6.3"
"2007","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","4.4"
"2008","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","5.9"
"2009","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","16.6"
"2010","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","22.7"
"2011","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","21.3"
"2012","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","19.8"
"2013","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","17.3"
"2014","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","16.2"
"2015","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","14.4"
"2016","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","12.8"
"2017","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","11.4"
"2018","Nedarbo lygis","20–64","Kaimas","Vyrai ir moterys","proc.","9.3"
"1998","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","10.1"
"1999","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","8.0"
"2000","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","12.6"
"2001","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","13.3"
"2002","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","9.4"
"2003","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","9.4"
"2004","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","8.5"
"2005","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","7.1"
"2006","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","6.3"
"2007","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","4.5"
"2008","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","5.5"
"2009","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","15.4"
"2010","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","21.3"
"2011","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","19.3"
"2012","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","18.6"
"2013","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","15.8"
